Customer Name,Marketer,Region,Status
A&K Pharmaceutical,Hasnain Shams,Lahore,Undeveloped
A.Z. Pharmaceutical Co. Ltd.,Hasnain Shams,Lahore,Undeveloped
A’Raf (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
AGM Pharma,Hasnain Shams,Lahore,Undeveloped
Albro Pharmaceutical (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Alfalah Pharma (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Al Fazal Pharma (Pvt.) Ltd.,Aaira Khan,Lahore,Developed
Ali Industries,Hamza Ali Khan,Lahore,Developed
Alpha chemical (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Allmed Pharmaceuticals,Mashood Ahmad,Lahore,Developed
Amaan Pharma (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Ameer & Adnan Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Ameer Pharma,Aaira Khan,Lahore,Developed
Aptcure (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Arsons Pharmaceuticals Industries (Pvt.) Ltd.,Aaira Khan,Lahore,Developed
Axis Pharmaceuticals,Hamza Ali Khan,Lahore,Developed
Bajwa Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Batala Pharmaceuticals,Hamza Ali Khan,Lahore,Developed
BF Bioscinences Ltd. (Ferozsons Company),Mashood Ahmad,Lahore,Undeveloped
Bio-Mark Pharmaceuticals,Imran Khan,Lahore,Developed
Bio-Oxime Pharmaceuticals,Hasnain Shams,Lahore,Undeveloped
Biorise Pharmaceuticals,Aaira Khan,Lahore,Undeveloped
BJ Pharmaceutical,,Lahore,Developed
Bless Laboratories,Imran Khan,Lahore,Developed
Briell Pharmaceutical (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
British Pharmaceutical,Hasnain Shams,Lahore,Undeveloped
Candid Pharmaceuticals,Hasnain Shams,Lahore,Undeveloped
Care Pharmaceuticals,Hasnain Shams,Lahore,Developed
CCL Pharmaceuticals (Pvt.) Ltd.,Imran Khan,Lahore,Developed
Citi Pharma (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Cunningham Pharmaceutical,Mashood Ahmad,Lahore,Developed
Curatech Pharmaceuticals (Pvt.) Ltd.,Aaira Khan,Lahore,Developed
Curexa Pharma Health Pvt.,Hasnain Shams,Lahore,Undeveloped
Demont Research labs,Hamza Ali Khan,Lahore,Developed
Derma Techno Pakistan,Hasnain Shams,Lahore,Undeveloped
Don Valley Pharm (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Dyson Research Laboratories (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Effort Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
Elite Pharma (Pvt.) Ltd.,Muhammad Zubair,Lahore,Developed
English Pharma Industries,Hasnain Shams,Lahore,Developed
Ethical Laboratories,Muhammad Zubair,Lahore,Developed
Evergreen Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Fahmir Pharma,Mashood Ahmad,Lahore,Developed
Fizi Pharmaceuticals and Chemical Laboratories,Mashood Ahmad,Lahore,Developed
Flash Laboratories,,Lahore,Developed
Friends Pharma (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Fynk Pharmaceuticals,Mashood Ahmad,Lahore,Developed
Garent Pharma,Hasnain Shams,Lahore,Undeveloped
Genesis Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
Genetics Pharma,Imran Khan,Lahore,Developed
GT Pharma (Pvt.) Ltd.,Muhammad Zubair,Lahore,Developed
Haaks Vethum (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Himark Laboratories (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
Hamaz Pharmaceutical (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Hansel Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
Harrison Pharmaceutical,Mashood Ahmad,Lahore,Developed
Harmann PharmLabs,Hasnain Shams,Lahore,Undeveloped
Health Care Pharmaceuticals,Muhammad Zubair,Lahore,Developed
Highnoon Laboratories,Mashood Ahmad,Lahore,Developed
Himed International Pharmaceutical,Hamza Ali Khan,Lahore,Developed
Himont Pharma (Pvt.) Ltd.,Mashood Ahmad,Lahore,Undeveloped
Horizon Healthcare,Mashood Ahmad,Lahore,Developed
Hoover Pharmaceuticals (Pvt.) Ltd.,Aaira Khan,Lahore,Developed
ICU Pharmaceuticals,Imran Khan,Lahore,Developed
Ideal Pharma Industries,Hamza Ali Khan,Lahore,Undeveloped
International Pharma,Mashood Ahmad,Lahore,Developed
Intervac (Pvt.) Ltd.,,Lahore,Developed
Irza Pharma,Aaira Khan,Lahore,Developed
Islam Pharma (Pvt.) Ltd.,Imran Khan,Lahore,Developed
Izfaar Pharmaceutical Industries,Aaira Khan,Lahore,Developed
Jaens Pharmaceuticals Industries,Hasnain Shams,Lahore,Developed
Jaskan Pharmaceuticals Industries (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Jawa Pharmaceutical (Pvt.) Ltd.,Aaira Khan,Lahore,Developed
Jenner Pharmeceuticals (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Jinnah Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Kohinoor Industries,Aaira Khan,Lahore,Developed
Lahore Chemicals & Pharma Works,Mashood Ahmad,Lahore,Developed
Lakhani Pharma (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
Lawrence Pharma (Pvt.) Ltd.,Aaira Khan,Lahore,Undeveloped
Life Pharma Co.,Mashood Ahmad,Lahore,Developed
Liven Pharma,Mashood Ahmad,Lahore,Undeveloped
Magns Pharmaceutical,Mashood Ahmad,Lahore,Developed
Majestic Pharma,Hasnain Shams,Lahore,Undeveloped
Mallard Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Masfa Industries (Pvt.) Ltd.,Muhammad Zubair,Lahore,Developed
Mass Pharma (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
May & Baker (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Mcolson Research Laboratories (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Medhouse Pharma,Hasnain Shams,Lahore,Undeveloped
Medipak Ltd.,,Lahore,Developed
Medpharm Resaerch Laboratories,Hamza Ali Khan,Lahore,Developed
Medisave Pharmaceuticals,Mashood Ahmad,Lahore,Developed
Medisearch Pharmaceuticals (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Mega pharmaceuticals Ltd.,Hamza Ali Khan,Lahore,Developed
Moringa Pharmaceuticals,Aaira Khan,Lahore,Developed
MTI Medical (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Murfy Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Mylabs (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Nawabsons Laboratories (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Neutrifactor Laboratories (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Neutro Pharma (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
News Pharma,Hasnain Shams,Lahore,Undeveloped
Neotech Pharmaceuticals (Pvt.) Ltd.,,Lahore,Developed
Next Pharmaceutical Products (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
NovaMed Pharmaceuticals,Mashood Ahmad,Lahore,Developed
OBS pvt Ltd.,Imran Khan,Lahore,Developed
Obsons Pharma,Hamza Ali Khan,Lahore,Developed
P.D.H Laboratories (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
P.D.H Pharmaceuticals (Pvt.) Ltd.,Imran Khan,Lahore,Developed
Pacific Pharma,Mashood Ahmad,Lahore,Undeveloped
Paradise Pharma,Hamza Ali Khan,Lahore,Undeveloped
Perfect Pharma (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Pharma Lord (Pvt.) Ltd.,Aaira Khan,Lahore,Undeveloped
Pharmagen Ltd.,Mashood Ahmad,Lahore,Developed
Pharmahealth Pakistan (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Pharmasol (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Pharma Wise (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed
Pharmazone Chemicals (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Pharmedic Lab,Mashood Ahmad,Lahore,Developed
Pharmix Lab,Aaira Khan,Lahore,Developed
Popular Chemical Works,Hasnain Shams,Lahore,Developed
Prix Pharmaceuticals (Pvt.) Ltd.,Aaira Khan,Lahore,Undeveloped
Pulse Pharmaceuticals (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Qadir Pharma,Mashood Ahmad,Lahore,Developed
Qintar Pharmaceutical,Mashood Ahmad,Lahore,Developed
Quaper (Pvt.) Ltd.,Hamza Ali Khan,Lahore,Developed
Raazee Therapeutics (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Radiant Pharma (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Rasco Pharma,Hamza Ali Khan,Lahore,Developed
Remington Pharmaceutical Industries (Pvt.) Ltd.,Mashood Ahmad,Lahore,Undeveloped
Route 2 Health,Mashood Ahmad,Lahore,Developed
Ruth Pharmaceuticals,Hasnain Shams,Lahore,Undeveloped
Saffron Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Sapient Pharma,Hamza Ali Khan,Lahore,Developed
Saturn Pharmaceuticals (Pvt.) Ltd.,Mashood Ahmad,Lahore,Developed
Searle IV Solutions (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
Spectrum Laboratories,Hasnain Shams,Lahore,Undeveloped
Schazoo Zaka (Pvt.) Ltd.,Mashood Ahmad,Lahore,Undeveloped
Seatle Pharmaceuticals Pakistan Ltd.,Abdul Moeez,Lahore,Developed
Selmore Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Developed-GGC
Sharex Labs.,Hasnain Shams,Lahore,Developed
Shrooq Pharmaceuticals (Pvt.) Ltd.,Aaira Khan,Lahore,Developed
Siza International,Mashood Ahmad,Lahore,Developed
Skims Pharmaceutical,Hasnain Shams,Lahore,Developed
Stallion Pharmaceuticals (Pvt.) Ltd.,Hasnain Shams,Lahore,Undeveloped
